date,cases,deaths
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,0
2020-01-25,2,0
2020-01-26,5,0
2020-01-27,5,0
2020-01-28,5,0
2020-01-29,5,0
2020-01-30,5,0
2020-01-31,7,0
2020-02-01,8,0
2020-02-02,8,0
2020-02-03,11,0
2020-02-04,11,0
2020-02-05,11,0
2020-02-06,11,0
2020-02-07,11,0
2020-02-08,11,0
2020-02-09,11,0
2020-02-10,11,0
2020-02-11,12,0
2020-02-12,12,0
2020-02-13,13,0
2020-02-14,13,0
2020-02-15,13,0
2020-02-16,13,0
2020-02-17,13,0
2020-02-18,13,0
2020-02-19,13,0
2020-02-20,13,0
2020-02-21,15,0
2020-02-22,15,0
2020-02-23,15,0
2020-02-24,15,0
2020-02-25,15,0
2020-02-26,15,0
2020-02-27,16,0
2020-02-28,16,0
2020-02-29,24,1
2020-03-01,30,1
2020-03-02,53,6
2020-03-03,73,7
2020-03-04,104,11
2020-03-05,174,12
2020-03-06,222,14
2020-03-07,337,17
2020-03-08,451,21
2020-03-09,519,22
2020-03-10,711,28
2020-03-11,1109,32
2020-03-12,1561,42
2020-03-13,2149,51
2020-03-14,2859,58
2020-03-15,2955,71
2020-03-16,4336,99
2020-03-17,6112,133
2020-03-18,8871,190
2020-03-19,14095,268
2020-03-20,19404,364
2020-03-21,25725,453
2020-03-22,33638,597
2020-03-23,43682,781
2020-03-24,53925,1011
2020-03-25,65844,1320
2020-03-26,83836,1726
2020-03-27,101962,2269
2020-03-28,121786,2899
2020-03-29,140910,3518
2020-03-30,162147,4320
2020-03-31,188172,5531
2020-04-01,213602,6746
2020-04-02,244008,8303
2020-04-03,275798,9587
2020-04-04,309027,10849
2020-04-05,336802,12245
2020-04-06,366317,13894
2020-04-07,397121,16191
2020-04-08,428654,18270
2020-04-09,463327,20297
2020-04-10,496846,22357
2020-04-11,526776,24366
2020-04-12,555313,26086
2020-04-13,580624,27870
2020-04-14,607670,30262
2020-04-15,636674,32760
2020-04-16,667981,34844
2020-04-17,700062,37428
2020-04-18,728352,39775
2020-04-19,754376,40945
2020-04-20,780064,42686
2020-04-21,807023,45086
2020-04-22,835150,47412
2020-04-23,869170,49724
2020-04-24,905358,51493
2020-04-25,938154,53755
2020-04-26,965785,54881
2020-04-27,988197,56219
2020-04-28,1012582,58355
2020-04-29,1039909,60967
2020-04-30,1069424,62996
2020-05-01,1103461,64943
2020-05-02,1132539,66369
2020-05-03,1158040,67682
2020-05-04,1180375,68922
2020-05-05,1204351,71064
2020-05-06,1229331,73455
2020-05-07,1257023,75662
2020-05-08,1283929,77180
2020-05-09,1309550,78795
2020-05-10,1329260,79526
2020-05-11,1347881,80682
2020-05-12,1369574,82376
2020-05-13,1390406,84119
2020-05-14,1417774,85898
2020-05-15,1442824,87530
2020-05-16,1467820,88754
2020-05-17,1486757,89562
2020-05-18,1508308,90347
2020-05-19,1528568,91921
2020-05-20,1551853,93439
2020-05-21,1577147,94702
2020-05-22,1600937,95979
2020-05-23,1622612,97087
2020-05-24,1643246,97720
2020-05-25,1662302,98220
