ID,Name,Lat,Lon
PABL0,Buckland Airport,65.9667,-161.15
70026,Post Rogers Memorial Airport,71.2833,-156.7667
70030,Wainwright Airport,70.6333,-160.0333
70063,Oliktok Distant Early Warning,70.5,-149.8833
70086,Barter Island Airport,70.1333,-143.5667
70104,Cape Lisburne Airport,68.8833,-166.1
70116,Wales,65.6167,-168.05
70117,Tin City,65.5667,-167.9167
70119,"Port Clarence, Port Clarence Coast Guard Station",65.25,-166.85
70121,Point Lay Airport,69.7167,-163
70133,Wien Memorial Airport,66.8833,-162.6
70162,Umiat,69.3667,-152.1333
70171,Ambler Airport,67.1,-157.85
70173,Utopia Creek Airport,66.9833,-153.7
70174,Bettles Airport,66.9,-151.5167
70178,Tanana Calhoun Memorial Airport,65.1667,-152.1
70194,Fort Yukon Airport,66.5667,-145.2667
70200,Nome Airport,64.5167,-165.4333
70204,"Gambell, Gambell Airport",63.7667,-171.7333
70207,Unalakleet,63.8833,-160.8
70212,Cape Romanzof Airport,61.7833,-166.0333
70218,Nunivak,60,-166
70219,Bethel Airport,60.7833,-161.8333
70222,Galena Airport,64.7333,-156.9333
70231,McGrath Airport,62.95,-155.6
70232,Aniak Airport,61.5667,-159.5333
70235,Sparrevohn,61.1,-155.5667
70246,Minchumina Airport,63.8667,-152.3
70248,Farewell / Intermediate Field,63.5,-153.8833
70249,Puntilla,62.1,-152.75
70251,Talkeetna Airport,62.3167,-150.1
70255,Skwentna,61.9667,-151.2167
70259,Kenai Municipal Airport,60.5833,-151.2333
70260,Nenana Municipal Airport,64.55,-149.0667
70261,Fairbanks Airport,64.8,-147.8667
70264,Summit,63.3333,-149.1333
70265,Fairbanks Air Force Base,64.65,-147.1
70266,"Fort Greely, Ak",63.9667,-145.7
70267,Allen Army Airfield,64,-145.7167
70270,Ft. Richardson Heliport,61.2667,-149.65
70271,Gulkana Airport,62.15,-145.45
70272,Anchorage Air Force Base,61.25,-149.7833
70273,Anchorage Ted Stevens Airport,61.1667,-150.0333
70274,Palmer Municipal Airport,61.6,-149.1
70275,Valdez,61.1333,-146.35
70277,Seward,60.1167,-149.45
70279,Cape Hinchinbrook,60.2333,-146.65
70291,Northway Airport,62.9667,141.9333
70296,Merle K. Smith Airport,60.5,-145.4833
70298,Yakataga,60.0833,-142.5
70305,Cape Newenham Airport,58.65,-162.0667
70308,St Paul Island Airport,57.1667,-170.2167
70316,Cold Bay Airport,55.2167,-162.7333
70321,Dillingham Airport,59.05,-158.5167
70326,King Salmon Airport,58.6833,-156.65
70333,Port Heiden Airport,56.95,-158.6333
70340,Iliamna Airport,59.75,-154.9167
70341,Homer / Municipal,59.6333,-151.5
70343,Middleton Island Airport,59.4333,-146.3
70350,Kodiak Airport,57.75,-152.4833
70360,Cape Saint Elias,59.8,-144.6
70361,Yakutat Airport,59.5,-139.6667
70362,Skagway Airport,59.4667,-135.3167
70364,Nuiqsut Airport,70.2167,-150.9833
70367,"Gustavus, Gustavus Airport",58.4167,-135.7
70371,Sitka Airport,57.05,-135.3667
70381,Juneau International Airport,58.35,-134.5667
70383,Angoon,57.5,-134.5833
70385,Five Finger Light,57.2667,-133.6167
70386,Petersburg,56.8167,-132.9667
70387,Wrangell,56.4833,-132.3667
70388,Cape Decision Automatic Meteorological Observing System,56,-134.1333
70389,Klawock Airport,55.5833,-133.0833
70395,Ketchikan International Airport,55.35,-131.7167
70398,Annette Island Airport,55.0333,-131.5833
70409,Attu,52.8333,173.1833
70414,Shemya Eareckson As,52.7167,174.1167
70454,Adak Island Airport,51.8667,-176.6333
70482,Nikolski,52.95,-168.85
70489,Unalaska Airport,53.9,-166.5333
72201,Key West Airport,24.55,-81.1
72202,Miami International Airport,25.7833,-80.3167
72203,Palm Beach International,26.6833,-80.1
72204,Melbourne International,28.1,-80.65
72205,Orlando Airport,28.4167,-81
72206,Jacksonville International,30.5,-81.0333
72207,Savannah Airport,32.1167,-81.0333
72208,Charleston Airport,32.9,-80.0333
72209,Ft. Stewart,31.8833,-81.5667
72210,Tampa Bay Area,27.7,-82.4
72211,Tampa International Airport,27.9667,-82.5333
72212,Cross City Airport,29.6333,-83.1
72213,Waycross / Ware County,31.25,-82.4
72214,Tallahassee Airport,30.4,-84.0167
72215,Peachtree City,33.3667,-84.5667
72216,Albany Southwest Georgia,31.5333,-84.2
72217,Middle Georgia Regional Airport,32.6833,-83.15
72218,Augusta Bush Field,33.3667,-81.9667
72219,Hartsfield-Jackson Atlanta,33.65,-84.1
72220,"Apalachicola, Apalachicola",29.7167,-85.0167
72221,Valparaiso / Eglin Air Force Base,30.4833,-86.5167
72223,Mobile Regional Airport,30.6833,-88.0667
72224,"Cape San Blas, Fl.",29.6833,-85.3667
72225,Fort Benning,32.3333,-84.8333
72226,Montgomery Dannelly Field,32.3,-86.0667
72227,Marietta / Dobbins Air Force Base,33.9167,-84.5167
72228,Birmingham Airport,33.5667,-86.75
72229,Centreville,32.9,-87.25
72230,"Shelby Country Airport, Al.",33.1667,-86.7667
72231,New Orleans Airport,30,-90.0833
72232,Boothville,29.3333,-89.4
72233,Slidell,30.3333,-89.8167
72234,Meridian Key Field,32.3333,-88.75
72235,Jackson Airport,32.3167,-90.0667
72239,Fort Polk,31.05,-93.1833
72240,Lake Charles Regional Airport,30.2,-93.3833
72241,Southeast Texas Rgnl Airport,30.5833,-94.1333
72242,Scholes Field,29.2667,-94.8667
72243,Houston Intercontinental,30,-95.3667
72247,Longview Gregg County Airport,32.3833,-94.7167
72248,Shreveport Regional Airport,32.45,-93
72249,Fort Worth,32.8333,-97.3
72250,Brownsville/South Padre Is,25.9,-97.0833
72251,Corpus Christi International,27.7667,-97.0167
72252,"Laredo, Laredo International Airport",27.5333,-99.45
72253,San Antonio International  Airport,29.5333,-98.4667
72254,Camp Mabry/Austin City Asos,30.3167,-97.7667
72255,Victoria Regional Airport,28.8667,-96.1
72256,Waco Regional Airport,31.6,-97.05
72257,"Fort Hood, Hood Aaf Ft Hood",31.1333,-97.7
72259,Dallas/Ft. Worth International  Airport,32.9,-97.0333
72260,"Stephenville, Clark Field Municipal Airport",32.2167,-98.1833
72261,Del Rio International  Airport,29.3667,-100.9167
72262,Guadalupe Pass,31.8333,-104.8167
72263,Mathis Field,31.35,-100.5
72264,Marfa,30.3667,-104.0167
72265,Midland International Airport,31.9333,-102.2
72266,Abilene Regional Airport,32.4167,-99.6833
72267,Lubbock International Airport,33.6667,-101.8167
72268,Roswell Industrial Air Centr,33.3,-104.5333
72269,White Sands,32.3833,-106.4833
72270,El Paso International Airport,31.8167,-106.3833
72271,Truth Or Consequences Muni,33.2333,-107.2667
72272,Silver City / Grant,32.6333,-108.15
72273,"Fort Huachuca, Libby Aaf Ft Huachuca",47.6333,-110.3333
72274,Tucson International Airport,32.1333,-110.95
72276,Window Rock Airport,35.65,-109.0667
72278,Phoenix Sky Harbor Airport,33.4333,-112.05
72280,Yuma / Yuma International,32.65,-114.6
72281,"El Centro, Naval Air Facility",32.8167,-115.65
72282,"Las Vegas, Tonopah Range #74 Nellis Afb",37.6167,-116.25
72286,Riverside / March Air Force Base,33.9,-117.25
72288,Burbank-Glendale-Pasadena,34.2,-118.3667
72289,Mount Wilson,34.2333,-118.0667
72290,San Diego International Airport,32.7333,-117.1833
72291,San Nicolas Island,33.2333,-119.4667
72292,Avalon Catalina Airport,33.4,-118.4167
72293,MCAS Miramar,32.8667,-117.15
72295,Los Angeles Airport,33.9333,-118.3833
